Trial,Speed,Number of Obstacles,Time,Difficulty,Obstacle1,Obstacle2,Obstacle3,Obstacle4,Obstacle5,Obstacle6,Obstacle7,Obstacle8,Obstacle9,Obstacle10,Obstacle11,Obstacle12
150O4,150,O4,46.3009,5,1,2,1,0,0,0,0,0,0,0,0,0
90O8,90,O8,53.23381,7,1,1,0,0,0,0,0,0,0,0,0,0
120O4,120,O4,43.81791,5,2,0,0,0,0,0,0,0,0,0,0,0
90O12,90,O12,68.84985,5,1,1,2,1,0,0,0,0,0,0,0,0
180O12,180,O12,125.4632,9,1,2,6,8,1,2,0,0,0,0,0,0
120O8,120,O8,59.7503,5,1,2,2,1,0,0,0,0,0,0,0,0
180O4,180,O4,46.58424,5,2,1,0,0,0,0,0,0,0,0,0,0
180O8,180,O8,108.1807,6,2,3,1,1,2,1,0,0,0,0,0,0
90O4,90,O4,37.11803,4,0,0,0,0,0,0,0,0,0,0,0,0
150O12,150,O12,54.60042,5,1,1,1,1,1,0,0,0,0,0,0,0
150O8,150,O8,59.48334,3,1,2,1,1,0,0,0,0,0,0,0,0
120O12,120,O12,44.10124,3,1,0,0,0,0,0,0,0,0,0,0,0
